Set,VolumeNumber,Vendor,IRF,SRF,PED
TrainingSet,TRAIN002,Cirrus,0.22754940505044485,0.007729022397265922,0.0
TrainingSet,TRAIN012,Cirrus,0.0,0.7035335920116175,0.8880382532650063
TrainingSet,TRAIN014,Cirrus,0.0,0.5172690780339381,0.3320927172674612
TrainingSet,TRAIN016,Cirrus,0.770893858182459,0.0,0.0
TrainingSet,TRAIN027,Spectralis,0.9369529303612263,0.09608384122977025,0.0
TrainingSet,TRAIN033,Spectralis,0.25374701132264144,0.31437763006165403,0.36684186058642637
TrainingSet,TRAIN039,Spectralis,0.6220247323641585,0.0,0.0
TrainingSet,TRAIN042,Spectralis,0.0020603859721368,1.8997200568939823,0.6034776607398
TrainingSet,TRAIN048,Spectralis,0.3278369384682713,0.0,0.0
TrainingSet,TRAIN062,Topcon,0.04658341318095483,0.0,0.0
TrainingSet,TRAIN063,Topcon,0.0,0.7472828946867742,0.03406396932354839
TrainingSet,TRAIN064,Topcon,0.05776031492903226,0.0,0.0
TrainingSet,TRAIN067,Topcon,0.188237669447729,0.0,0.0
TrainingSet,TRAIN068,Topcon,0.4064706117294193,0.004203110545819354,0.0
