Set,VolumeNumber,Vendor,IRF,SRF,PED
TrainingSet,TRAIN002,Cirrus,0.3266250832309249,0.009829202874854403,0.018038490423978246
TrainingSet,TRAIN012,Cirrus,0.046658487177469454,0.43363577165935113,0.8112047849612469
TrainingSet,TRAIN014,Cirrus,0.016086083839269124,0.3660885491240334,0.19273186078952836
TrainingSet,TRAIN016,Cirrus,0.99536016246783,0.004021241085020161,0.011687571527731203
TrainingSet,TRAIN027,Spectralis,1.0067952562699047,0.11449599697920385,0.1200080312722368
TrainingSet,TRAIN033,Spectralis,0.2879076588318628,0.18651305786947892,0.5766336554563454
TrainingSet,TRAIN039,Spectralis,0.7201734545842974,0.005044369901649408,0.0706557109078318
TrainingSet,TRAIN042,Spectralis,0.0092689749631248,1.240139688041562,0.9200562415497684
TrainingSet,TRAIN048,Spectralis,0.4524812395005303,0.0064649479690315525,0.06358935325059117
TrainingSet,TRAIN062,Topcon,0.03254415733718709,0.0,0.0011087647589032256
TrainingSet,TRAIN063,Topcon,0.004611752893548387,0.3375538509304839,0.1797815003001613
TrainingSet,TRAIN064,Topcon,0.021293445942096773,0.010182397577258065,0.23500283105419356
TrainingSet,TRAIN067,Topcon,0.13779906845564513,0.00018861745323870964,0.004404472421574193
TrainingSet,TRAIN068,Topcon,0.4429604422775999,0.0030306236743354834,0.020380880487793546
