Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.7819399394922786 (0.1431964630326384),0.7827849451984678 (0.18614316139677803),nan (nan)
TRAIN017,0.7577424509369809 (0.1329416727311361),nan (nan),0.8365664890834263 (0.08221820945267898)
TRAIN019,0.7468848394023048 (0.17087573893477406),nan (nan),nan (nan)
TRAIN021,0.709611317385798 (0.11210289974632802),0.7333857901394367 (0.1727231756514346),nan (nan)
TRAIN023,nan (nan),nan (nan),0.7807946909557689 (0.20481966838879467)
TRAIN025,0.700996748233835 (0.188740343321095),nan (nan),0.7112903779950636 (0.1101312545105713)
TRAIN031,nan (nan),nan (nan),0.7724434453994036 (0.1811803155419126)
TRAIN035,nan (nan),0.9214570023292719 (0.05390970344768744),0.7388309869501326 (0.10596974341637463)
TRAIN037,0.610888269786932 (0.16131583815769732),0.8176785111427307 (0.14923805846612276),nan (nan)
TRAIN053,0.6191144906618493 (0.18396062518903802),0.7600178823068544 (0.11628518045447796),0.8190054115145764 (0.12303710360479235)
TRAIN057,nan (nan),0.7592180674966378 (0.1770247887213422),0.801372804223223 (0.15030463907882408)
TRAIN060,0.6479553984184014 (0.22519126124732566),nan (nan),nan (nan)
TRAIN065,0.63875698344782 (0.1689256481891377),nan (nan),nan (nan)
TRAIN070,0.7222522990456943 (0.1687630617132542),nan (nan),nan (nan)
