Volume,dice_IRF,dice_SRF,dice_PED
TRAIN008,0.7496867497555084 (0.18628732834067283),0.8166958349091666 (0.13357285075127756),nan (nan)
TRAIN017,0.6445194246328395 (0.2657797828422568),nan (nan),0.6491760452411004 (0.1750042668833987)
TRAIN019,0.7211441935764419 (0.1764539676839653),nan (nan),nan (nan)
TRAIN021,0.6226578620464905 (0.1518693027145383),0.5110126972198487 (0.2736289426339987),nan (nan)
TRAIN023,nan (nan),nan (nan),0.45229916274547577 (0.149156189716729)
TRAIN025,0.6095226481556892 (0.2388929962337428),nan (nan),0.6922796255555647 (0.12276553207428985)
TRAIN031,nan (nan),nan (nan),0.5725095691159368 (0.22462265354275202)
TRAIN035,nan (nan),0.914139449596405 (0.10974537075600271),0.5896567073133256 (0.14894006082945208)
TRAIN037,0.6240349819465559 (0.15328806292567226),0.8623250722885132 (0.14034196645243985),nan (nan)
TRAIN053,0.5414133588684366 (0.20195757382122012),0.5796768684182074 (0.2103014197361682),0.6360604994474574 (0.12236987221797645)
TRAIN057,nan (nan),0.7203300141175336 (0.1934978165561764),0.6765189617872238 (0.10223389743993391)
TRAIN060,0.38978364781819674 (0.19744734493110472),nan (nan),nan (nan)
TRAIN065,0.5862027229741216 (0.21869450024676396),nan (nan),nan (nan)
TRAIN070,0.45681388059566763 (0.21602248168455845),nan (nan),nan (nan)
