slice,dice_Background,dice_SRF,voxels_Background,voxels_SRF,union_Background,union_SRF,intersection_Background,intersection_SRF,binary_dice
Cirrus_TRAIN001_000.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_001.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_002.tiff,0.9996553063392639,0.0,253952,0,507729,175,253777,0,0.0
Cirrus_TRAIN001_003.tiff,0.9999271631240845,0.0,253952,0,507867,37,253915,0,0.0
Cirrus_TRAIN001_004.tiff,0.9997577667236328,0.0,253952,0,507781,123,253829,0,0.0
Cirrus_TRAIN001_005.tiff,0.9996848702430725,0.0,253952,0,507744,160,253792,0,0.0
Cirrus_TRAIN001_006.tiff,0.9996750354766846,0.0,253952,0,507739,165,253787,0,0.0
Cirrus_TRAIN001_007.tiff,0.9999310970306396,0.0,253952,0,507869,35,253917,0,0.0
Cirrus_TRAIN001_008.tiff,0.9996317028999329,0.0,253952,0,507717,187,253765,0,0.0
Cirrus_TRAIN001_009.tiff,0.9998345971107483,0.0,253952,0,507820,84,253868,0,0.0
Cirrus_TRAIN001_010.tiff,0.9999074339866638,0.0,253952,0,507857,47,253905,0,0.0
Cirrus_TRAIN001_011.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_012.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_013.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_014.tiff,0.9998148679733276,0.0,253952,0,507810,94,253858,0,0.0
Cirrus_TRAIN001_015.tiff,0.9998562335968018,0.0,253952,0,507831,73,253879,0,0.0
Cirrus_TRAIN001_016.tiff,0.9999527335166931,0.0,253952,0,507880,24,253928,0,0.0
Cirrus_TRAIN001_017.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_018.tiff,0.9999862313270569,0.0,253952,0,507897,7,253945,0,0.0
Cirrus_TRAIN001_019.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_020.tiff,0.9999310970306396,0.0,253952,0,507869,35,253917,0,0.0
Cirrus_TRAIN001_021.tiff,0.9999054670333862,0.0,253952,0,507856,48,253904,0,0.0
Cirrus_TRAIN001_022.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_023.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_024.tiff,0.9998010993003845,0.0,253952,0,507803,101,253851,0,0.0
Cirrus_TRAIN001_025.tiff,0.999962568283081,0.0,253952,0,507885,19,253933,0,0.0
Cirrus_TRAIN001_026.tiff,0.999663233757019,0.0,253952,0,507733,171,253781,0,0.0
Cirrus_TRAIN001_027.tiff,0.9995430111885071,0.0,253952,0,507672,232,253720,0,0.0
Cirrus_TRAIN001_028.tiff,0.9997695684432983,0.0,253952,0,507787,117,253835,0,0.0
Cirrus_TRAIN001_029.tiff,0.9998916983604431,0.0,253952,0,507849,55,253897,0,0.0
Cirrus_TRAIN001_030.tiff,0.9999980330467224,0.0,253952,0,507903,1,253951,0,0.0
Cirrus_TRAIN001_031.tiff,0.9997105002403259,0.0,253952,0,507757,147,253805,0,0.0
Cirrus_TRAIN001_032.tiff,0.9994641542434692,0.0,253952,0,507632,272,253680,0,0.0
Cirrus_TRAIN001_033.tiff,0.9999507665634155,0.0,253952,0,507879,25,253927,0,0.0
Cirrus_TRAIN001_034.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_035.tiff,0.9997676014900208,0.0,253952,0,507786,118,253834,0,0.0
Cirrus_TRAIN001_036.tiff,0.9990757703781128,0.0,253952,0,507435,469,253483,0,0.0
Cirrus_TRAIN001_037.tiff,0.9986178874969482,0.0,253952,0,507203,701,253251,0,0.0
Cirrus_TRAIN001_038.tiff,0.9985271096229553,0.0,253952,0,507157,747,253205,0,0.0
Cirrus_TRAIN001_039.tiff,0.9992808699607849,0.0,253952,0,507539,365,253587,0,0.0
Cirrus_TRAIN001_040.tiff,0.9986712336540222,0.0,253952,0,507230,674,253278,0,0.0
Cirrus_TRAIN001_041.tiff,0.9989277720451355,0.0,253952,0,507360,544,253408,0,0.0
Cirrus_TRAIN001_042.tiff,0.9985803961753845,0.0,253952,0,507184,720,253232,0,0.0
Cirrus_TRAIN001_043.tiff,0.9988646507263184,0.0,253952,0,507328,576,253376,0,0.0
Cirrus_TRAIN001_044.tiff,0.9983829259872437,0.0,253952,0,507084,820,253132,0,0.0
Cirrus_TRAIN001_045.tiff,0.9980568885803223,0.0,253952,0,506919,985,252967,0,0.0
Cirrus_TRAIN001_046.tiff,0.9978176951408386,0.0,253952,0,506798,1106,252846,0,0.0
Cirrus_TRAIN001_047.tiff,0.9978829026222229,0.0,253952,0,506831,1073,252879,0,0.0
Cirrus_TRAIN001_048.tiff,0.9987600445747375,0.0,253952,0,507275,629,253323,0,0.0
Cirrus_TRAIN001_049.tiff,0.9988804459571838,0.0,253952,0,507336,568,253384,0,0.0
Cirrus_TRAIN001_050.tiff,0.9995410442352295,0.0,253952,0,507671,233,253719,0,0.0
Cirrus_TRAIN001_051.tiff,0.9970319867134094,0.0,253952,0,506401,1503,252449,0,0.0
Cirrus_TRAIN001_052.tiff,0.9980074763298035,0.0,253952,0,506894,1010,252942,0,0.0
Cirrus_TRAIN001_053.tiff,0.9998483657836914,0.0,253952,0,507827,77,253875,0,0.0
Cirrus_TRAIN001_054.tiff,0.9999054670333862,0.0,253952,0,507856,48,253904,0,0.0
Cirrus_TRAIN001_055.tiff,0.9983513355255127,0.0,253952,0,507068,836,253116,0,0.0
Cirrus_TRAIN001_056.tiff,0.9986751675605774,0.0,253952,0,507232,672,253280,0,0.0
Cirrus_TRAIN001_057.tiff,0.9989475011825562,0.640593409538269,253416,536,506421,1483,252944,475,0.640593409538269
Cirrus_TRAIN001_058.tiff,0.9989717602729797,0.7616865038871765,253118,834,505722,2182,252601,831,0.7616865038871765
Cirrus_TRAIN001_059.tiff,0.9988368153572083,0.82010418176651,252600,1352,504641,3263,252027,1338,0.82010418176651
Cirrus_TRAIN001_060.tiff,0.9979727268218994,0.7609459161758423,251829,2123,503633,4271,251306,1625,0.7609459161758423
Cirrus_TRAIN001_061.tiff,0.9970704317092896,0.690205991268158,252101,1851,503146,4758,250836,1642,0.690205991268158
Cirrus_TRAIN001_062.tiff,0.9983503222465515,0.7664233446121216,252495,1457,504342,3562,251755,1365,0.7664233446121216
Cirrus_TRAIN001_063.tiff,0.9987363219261169,0.7894389629364014,252677,1275,504874,3030,252118,1196,0.7894389629364014
Cirrus_TRAIN001_064.tiff,0.9973399043083191,0.29232385754585266,253646,306,506002,1902,252328,278,0.29232385754585266
Cirrus_TRAIN001_065.tiff,0.9975993633270264,0.31856420636177063,253657,295,506121,1783,252453,284,0.31856420636177063
Cirrus_TRAIN001_066.tiff,0.999312162399292,0.3249516487121582,253842,110,507387,517,253519,84,0.3249516487121582
Cirrus_TRAIN001_067.tiff,0.9983730316162109,0.0,253952,0,507079,825,253127,0,0.0
Cirrus_TRAIN001_068.tiff,0.9978097677230835,0.0,253952,0,506794,1110,252842,0,0.0
Cirrus_TRAIN001_069.tiff,0.9991901516914368,0.0,253952,0,507493,411,253541,0,0.0
Cirrus_TRAIN001_070.tiff,0.9996435046195984,0.0,253952,0,507723,181,253771,0,0.0
Cirrus_TRAIN001_071.tiff,0.9996986985206604,0.0,253952,0,507751,153,253799,0,0.0
Cirrus_TRAIN001_072.tiff,0.9993143677711487,0.0,253952,0,507556,348,253604,0,0.0
Cirrus_TRAIN001_073.tiff,0.9987205862998962,0.0,253952,0,507255,649,253303,0,0.0
Cirrus_TRAIN001_074.tiff,0.998234748840332,0.0,253952,0,507009,895,253057,0,0.0
Cirrus_TRAIN001_075.tiff,0.9994937181472778,0.0,253952,0,507647,257,253695,0,0.0
Cirrus_TRAIN001_076.tiff,0.9998522996902466,0.0,253952,0,507829,75,253877,0,0.0
Cirrus_TRAIN001_077.tiff,0.9998542666435242,0.0,253952,0,507830,74,253878,0,0.0
Cirrus_TRAIN001_078.tiff,0.9989988207817078,0.0,253952,0,507396,508,253444,0,0.0
Cirrus_TRAIN001_079.tiff,0.9990737438201904,0.0,253952,0,507434,470,253482,0,0.0
Cirrus_TRAIN001_080.tiff,0.9977188110351562,0.0,253952,0,506748,1156,252796,0,0.0
Cirrus_TRAIN001_081.tiff,0.9991723895072937,0.0,253952,0,507484,420,253532,0,0.0
Cirrus_TRAIN001_082.tiff,0.998493492603302,0.0,253952,0,507140,764,253188,0,0.0
Cirrus_TRAIN001_083.tiff,0.9989041090011597,0.0,253952,0,507348,556,253396,0,0.0
Cirrus_TRAIN001_084.tiff,0.9985191822052002,0.0,253952,0,507153,751,253201,0,0.0
Cirrus_TRAIN001_085.tiff,0.9992138147354126,0.0,253952,0,507505,399,253553,0,0.0
Cirrus_TRAIN001_086.tiff,0.9998345971107483,0.0,253952,0,507820,84,253868,0,0.0
Cirrus_TRAIN001_087.tiff,0.9990224838256836,0.0,253952,0,507408,496,253456,0,0.0
Cirrus_TRAIN001_088.tiff,0.9980687499046326,0.0,253952,0,506925,979,252973,0,0.0
Cirrus_TRAIN001_089.tiff,0.9960348010063171,0.0,253952,0,505898,2006,251946,0,0.0
Cirrus_TRAIN001_090.tiff,0.9977880120277405,0.0,253952,0,506783,1121,252831,0,0.0
Cirrus_TRAIN001_091.tiff,0.9994188547134399,0.0,253952,0,507609,295,253657,0,0.0
Cirrus_TRAIN001_092.tiff,0.9977266788482666,0.0,253952,0,506752,1152,252800,0,0.0
Cirrus_TRAIN001_093.tiff,0.9999035000801086,0.0,253952,0,507855,49,253903,0,0.0
Cirrus_TRAIN001_094.tiff,0.9982287883758545,0.0,253952,0,507006,898,253054,0,0.0
Cirrus_TRAIN001_095.tiff,0.9992788434028625,0.0,253952,0,507538,366,253586,0,0.0
Cirrus_TRAIN001_096.tiff,0.9987916350364685,0.0,253952,0,507291,613,253339,0,0.0
Cirrus_TRAIN001_097.tiff,0.9993853569030762,0.0,253952,0,507592,312,253640,0,0.0
Cirrus_TRAIN001_098.tiff,0.9990027546882629,0.0,253952,0,507398,506,253446,0,0.0
Cirrus_TRAIN001_099.tiff,0.9998838305473328,0.0,253952,0,507845,59,253893,0,0.0
Cirrus_TRAIN001_100.tiff,0.9995489120483398,0.0,253952,0,507675,229,253723,0,0.0
Cirrus_TRAIN001_101.tiff,0.9992631077766418,0.0,253952,0,507530,374,253578,0,0.0
Cirrus_TRAIN001_102.tiff,0.9998463988304138,0.0,253952,0,507826,78,253874,0,0.0
Cirrus_TRAIN001_103.tiff,1.0,1.0,253952,0,507904,0,253952,0,1.0
Cirrus_TRAIN001_104.tiff,0.9998936653137207,0.0,253952,0,507850,54,253898,0,0.0
